representation,sample_id,split,label,n_steps,n_features
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__sine__v0,query,sine,37,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__sine__v1,query,sine,55,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__sine__v2,query,sine,42,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__chirp__v0,query,chirp,51,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__chirp__v1,query,chirp,67,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__chirp__v2,query,chirp,68,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__ramp__v0,query,ramp,37,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__ramp__v1,query,ramp,68,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__ramp__v2,query,ramp,13,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__piecewise_linear__v0,query,piecewise_linear,25,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__piecewise_linear__v1,query,piecewise_linear,62,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__piecewise_linear__v2,query,piecewise_linear,15,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__first_order_response__v0,query,first_order_response,24,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__first_order_response__v1,query,first_order_response,56,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__first_order_response__v2,query,first_order_response,13,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__second_order_response__v0,query,second_order_response,38,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__second_order_response__v1,query,second_order_response,64,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__second_order_response__v2,query,second_order_response,22,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__regime_change__v0,query,regime_change,62,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__regime_change__v1,query,regime_change,83,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,query__regime_change__v2,query,regime_change,67,6
